Tema,Item,Peso
Variables Aleatorias Discretas,Calcular la media de una distribución binomial,2
Variables Aleatorias Discretas,Calcular la varianza de una distribución binomial,2
Variables Aleatorias Discretas,Identificar el modelo de distribución de probabilidad de Poisson,3
Variables Aleatorias Discretas,Identificar el parámetro lambda del modelo de Poisson,2
Variables Aleatorias Discretas,Cambiar la media de un modelo Poisson dependiendo del intervalo unidad considerado,2
Variables Aleatorias Discretas,Calcular la probabilidad de un valor de una distribución Poisson,2
Variables Aleatorias Discretas,Calcular la media de una distribución Poisson,1
Variables Aleatorias Discretas,Calcular la varianza de una distribución Poisson,1
Variables Aleatorias Discretas,Aplicar la ley de los casos raros,3
Variables Aleatorias Continuas,Comprobar si una función es función de densidad,2
Variables Aleatorias Continuas,Expresar un porcentaje o un número de individuos acumulados por encima o por debajo de un valor como una probabilidad,1
Variables Aleatorias Continuas,Calcular una probabilidad acumulada a partir de la función de densidad,2
Variables Aleatorias Continuas,Calcular la probabilidad de un intervalo a partir de la función de densidad,2
Variables Aleatorias Continuas,Calcular una probabilidad acumulada hacia la derecha a partir de la función de distribución,1
Variables Aleatorias Continuas,Calcular la probabilidad de un intervalo a partir de la función de distribución,2
Variables Aleatorias Continuas,Calcular la media de una distribución continua a partir de la función de densidad,2
Variables Aleatorias Continuas,Calcular la varianza de una distribución continua a partir de la función de densidad,2
Variables Aleatorias Continuas,Identificar un modelo de distribución de probabilidad uniforme continuo,2
Variables Aleatorias Continuas,Identificar los parámetros de un modelo de distribución uniforme continuo,1
Variables Aleatorias Continuas,Calcular la probabilidad acumulada de una distribución uniforme continua,2
Variables Aleatorias Continuas,Calcular la media de una distribución uniforme continua,1
Variables Aleatorias Continuas,Calcular la varianza de una distribución uniforme continua,1
Variables Aleatorias Continuas,Identificar un modelo de distribución de probabilidad normal,3
Variables Aleatorias Continuas,Identificar los parámetros (media y desviación típica) de un modelo de distribución normal,1
Variables Aleatorias Continuas,Aplicar las propiedades de un modelo de distribución normal,2
Variables Aleatorias Continuas,Aplicar la transformación de tipificación a una variable con distribución normal,2
Variables Aleatorias Continuas,Calcula la probabilidad acumulada de un valor con la tabla de la distribución normal estándar,2
Variables Aleatorias Continuas,Calcular un percentil con la tabla de la distribución normal estándar,2
Variables Aleatorias Continuas,Deshacer la transformación de tipificación para obtener un percentil de una distribución normal no estándar,2
Variables Aleatorias Continuas,Obtener la media de una distribución normal resolviendo una ecuación,2
Variables Aleatorias Continuas,Obtener la desviación típica de una distribución normal resolviendo una ecuación,2
Variables Aleatorias Continuas,Obtener la media y la desviación típica de una distribución normal resolviendo un sistema de ecuaciones,2
Variables Aleatorias Continuas,Calcular el rango intercuartílico de una distribución normal,1
Variables Aleatorias Continuas,Compute the number of individuals of a population that satisfy an event from its probability,1
